FENCE commit cycle=73
B cycle=94 addr=80000080 resp=0
INVALIDATE cycle=103 done=1
QUERY A cycle=104 maintenance=0 invalidate=0
COMMIT cycle=402 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=403 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=404 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=405 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=406 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=407 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=408 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=409 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=410 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=411 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=412 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=413 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=414 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=415 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=416 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=417 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=418 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=419 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=420 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=421 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=422 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=423 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=424 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=425 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=426 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=427 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=428 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=429 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=430 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=431 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=432 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=433 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=434 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=435 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=436 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=437 pc=800001c0 next=800001c0 trap=0
COMMIT cycle=438 pc=800001c0 next=800001c0 trap=0
